question,expected_mode,actual_mode,mode_pass,expected_sql_source,sql_source_pass,expected_document_source,document_source_pass,required_keywords,keyword_pass,latency_seconds,overall_pass,answer_preview
Which products are at stockout risk and what policy explains the reorder action?,hybrid,hybrid,True,vw_stockout_risk,True,inventory_policy.txt,True,WiFi Extender;CRITICAL_STOCKOUT;reorder,True,0.077,True,"Stockout-risk analysis  Retrieval mode: hybrid  The following products require attention: - WiFi Extender (Networking): current stock = -41, reorder level = 63, suggested reorder quantity = 170, status = CRITICAL_STOCKOUT. - External SSD (Electronics): current stock = -38, reorder level = 22, sugges"
What are the top 5 selling products?,sql,sql,True,vw_sales_by_product,True,,True,External SSD;units sold;net revenue,True,0.021,True,"Top-selling products  Retrieval mode: sql  1. External SSD (Electronics) from Supplier 4: 242 units sold, net revenue = $86,995.02, estimated profit = $35,812.02. 2. Monitor 27 inch (Electronics) from Supplier 6: 237 units sold, net revenue = $41,683.90, estimated profit = $15,621.01. 3. Monitor 24 "
Which suppliers have long delivery times and what procurement policy should we follow?,hybrid,hybrid,True,vw_supplier_performance,True,supplier_policy.txt,True,Supplier 7;delivery;reliability,True,0.077,True,"Supplier performance analysis  Retrieval mode: hybrid  Suppliers with the longest delivery times are: - Supplier 7 (India): average delivery = 16 days, reliability score = 0.76, products supplied = 3, total revenue = $93,552.87. - Supplier 8 (USA): average delivery = 11 days, reliability score = 0.9"
Explain the warehouse movement procedure.,vector,vector,True,,True,warehouse_sop.txt,True,RESTOCK;SALE;ADJUSTMENT,True,0.051,True,"Document-based answer  Retrieval mode: vector  Relevant document context: - warehouse_sop.txt, section 'Movement Types': Warehouse Inventory Movement Standard Operating Procedure Document Type: Warehouse SOP Department: Warehouse Operations Section 2: Movement Types  RESTOCK movements increase avail"
Show monthly revenue trend.,sql,sql,True,vw_monthly_sales,True,,True,monthly;sales;revenue,True,0.045,True,"Monthly sales trend  Retrieval mode: sql  - 2026-05-01: 8 orders, 96 units sold, net revenue = $17,943.09. - 2026-04-01: 72 orders, 1040 units sold, net revenue = $227,497.13. - 2026-03-01: 82 orders, 1050 units sold, net revenue = $242,219.97. - 2026-02-01: 58 orders, 771 units sold, net revenue = "
Give me a business overview.,sql,sql,True,vw_sales_by_product,True,,True,Number of products;Total revenue;stockout,True,0.026,True,"Business overview  Retrieval mode: sql  - Number of products: 30 - Number of suppliers: 8 - Number of orders: 450 - Number of order items: 1122 - Products at stockout/reorder risk: 5 - Total revenue: $1,259,078.31"
Show products with the lowest current stock.,sql,sql,True,vw_current_stock,True,,True,WiFi Extender;current stock;reorder level,True,0.034,True,"Lowest current stock products  Retrieval mode: sql  - WiFi Extender (Networking): current stock = -41, reorder level = 63, target stock = 129. - External SSD (Electronics): current stock = -38, reorder level = 22, target stock = 180. - Headset (Electronics): current stock = 0, reorder level = 29, ta"
What is the inventory policy for reorder actions?,hybrid,hybrid,True,vw_stockout_risk,True,inventory_policy.txt,True,reorder;target stock;current stock,True,0.085,True,"Stockout-risk analysis  Retrieval mode: hybrid  The following products require attention: - WiFi Extender (Networking): current stock = -41, reorder level = 63, suggested reorder quantity = 170, status = CRITICAL_STOCKOUT. - External SSD (Electronics): current stock = -38, reorder level = 22, sugges"
How should negative inventory be investigated?,vector,vector,True,,True,warehouse_sop.txt,True,inventory;warehouse;investigat,True,0.032,True,"Document-based answer  Retrieval mode: vector  Relevant document context: - returns_policy.txt, section 'Inventory Adjustment': Customer Returns and Damaged Goods Policy Document Type: Returns Policy Department: Customer Service and Warehouse Operations Section 3: Inventory Adjustment  If a returned"
What should we do with suppliers that have long delivery times?,hybrid,hybrid,True,vw_supplier_performance,True,supplier_policy.txt,True,delivery;lead-time;suppliers,True,0.089,True,"Supplier performance analysis  Retrieval mode: hybrid  Suppliers with the longest delivery times are: - Supplier 7 (India): average delivery = 16 days, reliability score = 0.76, products supplied = 3, total revenue = $93,552.87. - Supplier 8 (USA): average delivery = 11 days, reliability score = 0.9"
